-0.50455,-7.309,1.2493
-0.47301,-7.209,1.2618
-0.44918,-7.109,1.2722
-0.42822,-7.009,1.2818
-0.40726,-6.909,1.2914
-0.38631,-6.809,1.301
-0.36535,-6.709,1.3106
-0.34439,-6.609,1.3202
-0.32344,-6.509,1.3297
-0.30248,-6.409,1.3393
-0.28152,-6.309,1.3489
-0.26057,-6.209,1.3585
-0.24269,-6.109,1.367
-0.22937,-6.009,1.3741
-0.21605,-5.909,1.3811
-0.20274,-5.809,1.3881
-0.18942,-5.709,1.3951
-0.1761,-5.609,1.4021
-0.16278,-5.509,1.4091
-0.14946,-5.409,1.4162
-0.13615,-5.309,1.4232
-0.12283,-5.209,1.4302
-0.10951,-5.109,1.4372
-0.10052,-5.009,1.4423
-0.092415,-4.909,1.447
-0.084312,-4.809,1.4517
-0.076209,-4.709,1.4564
-0.068106,-4.609,1.4611
-0.060003,-4.509,1.4657
-0.0519,-4.409,1.4704
-0.043797,-4.309,1.4751
-0.035694,-4.209,1.4798
-0.027591,-4.109,1.4845
-0.019488,-4.009,1.4892
-0.013971,-3.909,1.4923
-0.008934,-3.809,1.495
-0.0038967,-3.709,1.4978
0.0011406,-3.609,1.5006
0.0061779,-3.509,1.5033
0.011215,-3.409,1.5061
0.016253,-3.309,1.5089
0.02129,-3.209,1.5116
0.026327,-3.109,1.5144
0.031364,-3.009,1.5171
0.036402,-2.909,1.5199
0.039104,-2.809,1.5225
0.041216,-2.709,1.5251
0.043327,-2.609,1.5277
0.045439,-2.509,1.5302
0.047551,-2.409,1.5328
0.049663,-2.309,1.5354
0.051775,-2.209,1.538
0.053886,-2.109,1.5405
0.055998,-2.009,1.5431
0.05811,-1.909,1.5457
0.060222,-1.809,1.5482
0.0614,-1.709,1.5505
0.0614,-1.609,1.5523
0.0614,-1.509,1.5542
0.0614,-1.409,1.556
0.0614,-1.309,1.5579
0.0614,-1.209,1.5597
0.0614,-1.109,1.5616
0.0614,-1.009,1.5634
0.0614,-0.909,1.5653
0.0614,-0.809,1.5671
0.0614,-0.709,1.5689
0.0614,-0.609,1.5708
